GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,URB_AREAA,CDA,AIANHHA,ZIPA,AREANAME,DSN001,DSN002
"G0100950","1980","3","6","Alabama","01","3440","Marshall","095",,,,,,,,,"MARSHALL COUNTY",19292,1997
"G0100970","1980","3","6","Alabama","01","5160","Mobile","097",,,,,,,,,"MOBILE COUNTY",95585,9536
"G0100990","1980","3","6","Alabama","01",,"Monroe","099",,,,,,,,,"MONROE COUNTY",5436,891
"G0101010","1980","3","6","Alabama","01","5240","Montgomery","101",,,,,,,,,"MONTGOMERY COUNTY",54852,5569
"G0101030","1980","3","6","Alabama","01",,"Morgan","103",,,,,,,,,"MORGAN COUNTY",26112,2355
"G0101050","1980","3","6","Alabama","01",,"Perry","105",,,,,,,,,"PERRY COUNTY",2829,868
"G0101070","1980","3","6","Alabama","01",,"Pickens","107",,,,,,,,,"PICKENS COUNTY",4971,1349
"G0101090","1980","3","6","Alabama","01",,"Pike","109",,,,,,,,,"PIKE COUNTY",7024,1245
"G0101110","1980","3","6","Alabama","01",,"Randolph","111",,,,,,,,,"RANDOLPH COUNTY",5323,995
"G0101130","1980","3","6","Alabama","01","1800","Russell","113",,,,,,,,,"RUSSELL COUNTY",12621,1822
"G0101150","1980","3","6","Alabama","01","1000","St Clair","115",,,,,,,,,"ST. CLAIR COUNTY",11137,938
"G0101170","1980","3","6","Alabama","01","1000","Shelby","117",,,,,,,,,"SHELBY COUNTY",17906,1218
"G0101190","1980","3","6","Alabama","01",,"Sumter","119",,,,,,,,,"SUMTER COUNTY",3344,1164
"G0101210","1980","3","6","Alabama","01",,"Talladega","121",,,,,,,,,"TALLADEGA COUNTY",17983,2778
"G0101230","1980","3","6","Alabama","01",,"Tallapoosa","123",,,,,,,,,"TALLAPOOSA COUNTY",10702,1155
"G0101250","1980","3","6","Alabama","01","8600","Tuscaloosa","125",,,,,,,,,"TUSCALOOSA COUNTY",38000,3461
"G0101270","1980","3","6","Alabama","01","1000","Walker","127",,,,,,,,,"WALKER COUNTY",18997,2089
"G0101290","1980","3","6","Alabama","01",,"Washington","129",,,,,,,,,"WASHINGTON COUNTY",3912,719
"G0101310","1980","3","6","Alabama","01",,"Wilcox","131",,,,,,,,,"WILCOX COUNTY",2803,992
"G0101330","1980","3","6","Alabama","01",,"Winston","133",,,,,,,,,"WINSTON COUNTY",6085,831
"G0200100","1980","4","9","Alaska","02",,"Aleutian Islands","010",,,,,,,,,"ALEUTIAN ISLANDS CENSUS AREA",1343,29
"G0200200","1980","4","9","Alaska","02","0380","Anchorage","020",,,,,,,,,"ANCHORAGE BOROUGH",48509,2444
"G0200500","1980","4","9","Alaska","02",,"Bethel","050",,,,,,,,,"BETHEL CENSUS AREA",1698,376
"G0200600","1980","4","9","Alaska","02",,"Bristol Bay Borough","060",,,,,,,,,"BRISTOL BAY BOROUGH",208,14
"G0200700","1980","4","9","Alaska","02",,"Dillingham","070",,,,,,,,,"DILLINGHAM CENSUS AREA",827,89
"G0200900","1980","4","9","Alaska","02",,"Fairbanks North Star","090",,,,,,,,,"FAIRBANKS NORTH STAR BOROUGH",13134,646
"G0201000","1980","4","9","Alaska","02",,"Haines","100",,,,,,,,,"HAINES BOROUGH",351,29
"G0201100","1980","4","9","Alaska","02",,"Juneau","110",,,,,,,,,"JUNEAU BOROUGH",6045,218
"G0201220","1980","4","9","Alaska","02",,"Kenai Peninsula","122",,,,,,,,,"KENAI PENINSULA BOROUGH",6191,325
"G0201300","1980","4","9","Alaska","02",,"Ketchikan Gateway","130",,,,,,,,,"KETCHIKAN GATEWAY BOROUGH",2886,137
"G0201400","1980","4","9","Alaska","02",,"Kobuk","140",,,,,,,,,"KOBUK CENSUS AREA",771,227
"G0201500","1980","4","9","Alaska","02",,"Kodiak Island","150",,,,,,,,,"KODIAK ISLAND BOROUGH",2618,160
"G0201700","1980","4","9","Alaska","02",,"Matanuska-Susitna","170",,,,,,,,,"MATANUSKA-SUSITNA BOROUGH",4356,189
"G0201800","1980","4","9","Alaska","02",,"Nome","180",,,,,,,,,"NOME CENSUS AREA",1225,252
"G0201850","1980","4","9","Alaska","02",,"North Slope","185",,,,,,,,,"NORTH SLOPE BOROUGH",766,91
"G0202010","1980","4","9","Alaska","02",,"Prince Of Wales-Outer Ketchikan","201",,,,,,,,,"PRINCE OF WALES-OUTER KETCHIKAN CENSUS AREA",700,70
"G0202200","1980","4","9","Alaska","02",,"Sitka","220",,,,,,,,,"SITKA BOROUGH",2083,56
"G0202310","1980","4","9","Alaska","02",,"Skagway-Yakutat-Angoon","231",,,,,,,,,"SKAGWAY-YAKUTAT-ANGOON CENSUS AREA",728,124
"G0202400","1980","4","9","Alaska","02",,"Southeast Fairbanks","240",,,,,,,,,"SOUTHEAST FAIRBANKS CENSUS AREA",1175,34
"G0202610","1980","4","9","Alaska","02",,"Valdez-Cordova","261",,,,,,,,,"VALDEZ-CORDOVA CENSUS AREA",1943,75
"G0202700","1980","4","9","Alaska","02",,"Wade Hampton","270",,,,,,,,,"WADE HAMPTON CENSUS AREA",464,194
"G0202800","1980","4","9","Alaska","02",,"Wrangell-Petersburg","280",,,,,,,,,"WRANGELL-PETERSBURG CENSUS AREA",1588,135
"G0202900","1980","4","9","Alaska","02",,"Yukon-Koyukuk","290",,,,,,,,,"YUKON-KOYUKUK CENSUS AREA",1707,297
"G0400010","1980","4","8","Arizona","04",,"Apache","001",,,,,,,,,"APACHE COUNTY",8515,1630
"G0400030","1980","4","8","Arizona","04",,"Cochise","003",,,,,,,,,"COCHISE COUNTY",24328,1732
"G0400050","1980","4","8","Arizona","04",,"Coconino","005",,,,,,,,,"COCONINO COUNTY",18158,1266
"G0400070","1980","4","8","Arizona","04",,"Gila","007",,,,,,,,,"GILA COUNTY",9965,663
"G0400090","1980","4","8","Arizona","04",,"Graham","009",,,,,,,,,"GRAHAM COUNTY",5495,437
"G0400110","1980","4","8","Arizona","04",,"Greenlee","011",,,,,,,,,"GREENLEE COUNTY",3193,194
"G0400130","1980","4","8","Arizona","04","6200","Maricopa","013",,,,,,,,,"MARICOPA COUNTY",443607,19372
"G0400150","1980","4","8","Arizona","04",,"Mohave","015",,,,,,,,,"MOHAVE COUNTY",17535,517
"G0400170","1980","4","8","Arizona","04",,"Navajo","017",,,,,,,,,"NAVAJO COUNTY",14344,1721
"G0400190","1980","4","8","Arizona","04","8520","Pima","019",,,,,,,,,"PIMA COUNTY",166374,7977
"G0400210","1980","4","8","Arizona","04",,"Pinal","021",,,,,,,,,"PINAL COUNTY",22324,1876
"G0400230","1980","4","8","Arizona","04",,"Santa Cruz","023",,,,,,,,,"SANTA CRUZ COUNTY",4376,399
"G0400250","1980","4","8","Arizona","04",,"Yavapai","025",,,,,,,,,"YAVAPAI COUNTY",18976,779
"G0400270","1980","4","8","Arizona","04",,"Yuma","027",,,,,,,,,"YUMA COUNTY",24325,1193
"G0500010","1980","3","7","Arkansas","05",,"Arkansas","001",,,,,,,,,"ARKANSAS COUNTY",7147,827
"G0500030","1980","3","7","Arkansas","05",,"Ashley","003",,,,,,,,,"ASHLEY COUNTY",7057,878
"G0500050","1980","3","7","Arkansas","05",,"Baxter","005",,,,,,,,,"BAXTER COUNTY",9215,510
"G0500070","1980","3","7","Arkansas","05","2580","Benton","007",,,,,,,,,"BENTON COUNTY",24284,1409
"G0500090","1980","3","7","Arkansas","05",,"Boone","009",,,,,,,,,"BOONE COUNTY",8205,664
"G0500110","1980","3","7","Arkansas","05",,"Bradley","011",,,,,,,,,"BRADLEY COUNTY",3803,560
"G0500130","1980","3","7","Arkansas","05",,"Calhoun","013",,,,,,,,,"CALHOUN COUNTY",1650,285
"G0500150","1980","3","7","Arkansas","05",,"Carroll","015",,,,,,,,,"CARROLL COUNTY",5076,420
"G0500170","1980","3","7","Arkansas","05",,"Chicot","017",,,,,,,,,"CHICOT COUNTY",3912,1305
"G0500190","1980","3","7","Arkansas","05",,"Clark","019",,,,,,,,,"CLARK COUNTY",6517,706
"G0500210","1980","3","7","Arkansas","05",,"Clay","021",,,,,,,,,"CLAY COUNTY",6060,1054
"G0500230","1980","3","7","Arkansas","05",,"Cleburne","023",,,,,,,,,"CLEBURNE COUNTY",5204,650
"G0500250","1980","3","7","Arkansas","05",,"Cleveland","025",,,,,,,,,"CLEVELAND COUNTY",2210,319
"G0500270","1980","3","7","Arkansas","05",,"Columbia","027",,,,,,,,,"COLUMBIA COUNTY",7380,1080
"G0500290","1980","3","7","Arkansas","05",,"Conway","029",,,,,,,,,"CONWAY COUNTY",5361,857
"G0500310","1980","3","7","Arkansas","05",,"Craighead","031",,,,,,,,,"CRAIGHEAD COUNTY",18638,1521
"G0500330","1980","3","7","Arkansas","05","2720","Crawford","033",,,,,,,,,"CRAWFORD COUNTY",10181,892
"G0500350","1980","3","7","Arkansas","05","4920","Crittenden","035",,,,,,,,,"CRITTENDEN COUNTY",11365,2405
"G0500370","1980","3","7","Arkansas","05",,"Cross","037",,,,,,,,,"CROSS COUNTY",5153,887
"G0500390","1980","3","7","Arkansas","05",,"Dallas","039",,,,,,,,,"DALLAS COUNTY",2825,392
"G0500410","1980","3","7","Arkansas","05",,"Desha","041",,,,,,,,,"DESHA COUNTY",4538,1230
"G0500430","1980","3","7","Arkansas","05",,"Drew","043",,,,,,,,,"DREW COUNTY",4712,519
"G0500450","1980","3","7","Arkansas","05",,"Faulkner","045",,,,,,,,,"FAULKNER COUNTY",12936,1014
"G0500470","1980","3","7","Arkansas","05",,"Franklin","047",,,,,,,,,"FRANKLIN COUNTY",4248,405
"G0500490","1980","3","7","Arkansas","05",,"Fulton","049",,,,,,,,,"FULTON COUNTY",3031,420
"G0500510","1980","3","7","Arkansas","05",,"Garland","051",,,,,,,,,"GARLAND COUNTY",23810,1855
"G0500530","1980","3","7","Arkansas","05",,"Grant","053",,,,,,,,,"GRANT COUNTY",3790,353
"G0500550","1980","3","7","Arkansas","05",,"Greene","055",,,,,,,,,"GREENE COUNTY",8958,970
"G0500570","1980","3","7","Arkansas","05",,"Hempstead","057",,,,,,,,,"HEMPSTEAD COUNTY",6328,645
"G0500590","1980","3","7","Arkansas","05",,"Hot Spring","059",,,,,,,,,"HOT SPRING COUNTY",8109,623
"G0500610","1980","3","7","Arkansas","05",,"Howard","061",,,,,,,,,"HOWARD COUNTY",3854,328
"G0500630","1980","3","7","Arkansas","05",,"Independence","063",,,,,,,,,"INDEPENDENCE COUNTY",8836,1146
"G0500650","1980","3","7","Arkansas","05",,"Izard","065",,,,,,,,,"IZARD COUNTY",3389,458
"G0500670","1980","3","7","Arkansas","05",,"Jackson","067",,,,,,,,,"JACKSON COUNTY",6045,1000
"G0500690","1980","3","7","Arkansas","05","6240","Jefferson","069",,,,,,,,,"JEFFERSON COUNTY",22777,2859
"G0500710","1980","3","7","Arkansas","05",,"Johnson","071",,,,,,,,,"JOHNSON COUNTY",5172,646
"G0500730","1980","3","7","Arkansas","05",,"Lafayette","073",,,,,,,,,"LAFAYETTE COUNTY",2696,543
"G0500750","1980","3","7","Arkansas","05",,"Lawrence","075",,,,,,,,,"LAWRENCE COUNTY",5337,884
"G0500770","1980","3","7","Arkansas","05",,"Lee","077",,,,,,,,,"LEE COUNTY",3394,1177
"G0500790","1980","3","7","Arkansas","05",,"Lincoln","079",,,,,,,,,"LINCOLN COUNTY",2661,592
